update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
53,54272,2356.513461582777,23,-3833.25,1593.3744655604344,-5487.5,-395.0,330.5,152.3031516417175,11.0,450.0,0.6817537546157837,-46.641347885131836,147.86877059936523,24175.6806640625,194.42027365984077
54,55296,2257.8970727547817,24,-3800.875,1782.3233038298636,-6220.5,-395.0,325.75,152.9098999411091,11.0,450.0,0.6660226136445999,-47.38569164276123,146.07057189941406,23528.65380859375,45.43963156103965
55,56320,2324.4535982490966,24,-4335.1875,1211.582615257313,-6220.5,-2495.0,380.625,99.58154635774642,199.0,450.0,0.5690433233976364,-48.12397003173828,142.66339111328125,22843.97705078125,32.91864226995058
56,57344,2324.4510822445222,25,-4478.4375,1183.5953551969312,-6220.5,-2495.0,420.375,73.58997469085038,226.0,450.0,0.49844924360513687,-48.853352546691895,136.29867935180664,20872.37158203125,30.84092443685556
57,58368,2367.400996134961,25,-4481.3125,894.2431484745913,-5500.0,-3090.0,450.0,0.0,450.0,450.0,0.6321164965629578,-49.58290100097656,141.82973098754883,21563.06982421875,33.2164114712574
58,59392,2283.039094219269,26,-4218.625,1094.9773042739287,-5521.0,-3015.5,403.125,81.6079614682293,246.0,450.0,0.46207793056964874,-50.31567192077637,155.59001922607422,26164.17431640625,17.14433682823608
59,60416,2324.4535982490966,26,-3820.3125,1217.410262029095,-5521.0,-1674.5,358.0,107.1505949586842,161.0,450.0,0.45839884132146835,-51.07043743133545,152.84336853027344,25593.140625,37.88291255139774
60,61440,2345.7204862969556,27,-3689.0625,1089.6556634293927,-5521.0,-1674.5,358.0,107.1505949586842,161.0,450.0,0.47830885648727417,-51.8009672164917,157.96017837524414,27120.19873046875,36.08248298299257
61,62464,2204.475965126413,27,-4534.5625,1334.5407318039229,-6609.5,-1674.5,404.875,95.14126010832524,161.0,450.0,0.400115005671978,-52.53969192504883,146.91361236572266,24246.9736328125,19.63146500758983
62,63488,2109.2213186686904,28,-4550.1875,1334.8231609819145,-6609.5,-1674.5,398.0,93.60689077199392,161.0,450.0,0.3168351426720619,-53.281572341918945,160.59122848510742,28015.525390625,26.838480746018
63,64512,1577.0509238945046,28,-5135.6875,729.8902716119389,-6609.5,-4286.5,443.125,18.18954026356906,395.0,450.0,0.19353808462619781,-54.04199409484863,165.474365234375,30924.892578125,62.66685236667985
64,65536,1874.0094490937493,29,-5074.4375,802.520227062066,-6609.5,-3951.5,443.125,18.18954026356906,395.0,450.0,0.23628374561667442,-54.78639793395996,174.9665069580078,33253.05419921875,52.56898738960989
65,66560,1923.2336435457444,29,-4976.25,896.6363881195097,-6749.0,-3951.5,443.125,18.18954026356906,395.0,450.0,0.17048734053969383,-55.50282382965088,156.62659454345703,28117.119140625,15.653147708062313
66,67584,2100.58185631226,30,-5562.125,971.9358180327547,-6749.0,-3951.5,450.0,0.0,450.0,450.0,0.24265249073505402,-56.18364429473877,149.37292861938477,26225.55126953125,35.887563550962795
